X,Y,NUDBO,MEDDBO,MINDBO,MAXDBO,DEVDBO,LATITUDE,LONGITUDE,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE
-49.073042,-25.6413189992633,4,2.975,1.9,5,1.43846,-25.641319,-49.073042,79,350,64620000,2021,PR,Águas Paraná,Rio dos Patos,1
-53.214167,-25.6394439992633,4,2.375,1.5,4,1.108678,-25.639444,-53.214167,80,351,65970250,2021,PR,Águas Paraná,Rio Boa Esperança,1
-51.967222,-25.6380559992634,4,2.1,1.5,3,0.637704,-25.638056,-51.967222,81,352,65825000,2021,PR,Águas Paraná,Rio Jordão,1
-49.251573,-25.6223689992637,4,1.825,1.5,2,0.236291,-25.622369,-49.251573,82,357,64682000,2021,PR,Águas Paraná,Rio dos Indios,1
-49.251573,-25.6223689992637,4,1.9,1.5,2.1,0.270801,-25.622369,-49.251573,83,357,64682000,2021,PR,Águas Paraná,Rio dos Indios,1
-49.356899,-25.6138469992639,4,44.75,24,54,14.080128,-25.613847,-49.356899,84,362,65019700,2021,PR,Águas Paraná,Rio Barigui,1
-49.398047,-25.6004589992641,4,9.725,4.9,13,3.45,-25.600459,-49.398047,85,364,65019980,2021,PR,Águas Paraná,Rio Iguaçu,1
-49.513556,-25.6003609992641,4,7.35,5.9,9,1.410674,-25.600361,-49.513556,86,366,65025000,2021,PR,Águas Paraná,Rio Iguacu,1
-49.260987,-25.5991659992642,4,21.25,13,36,10.144785,-25.599166,-49.260987,87,367,65017006,2021,PR,Águas Paraná,Rio Iguaçu,1
-51.676196,-25.5968109992642,4,1.9,1.5,2.1,0.270801,-25.596811,-51.676196,88,370,65819300,2021,PR,IAT,Rio Pinhão,1
-49.228639,-25.5893329992644,4,3.875,1.6,9,3.46927,-25.589333,-49.228639,89,372,65015400,2021,PR,Águas Paraná,Rio Miringuava Mirim,1
-49.631899,-25.5872329992644,4,7.025,4.9,8,1.466004,-25.587233,-49.631899,90,374,65028000,2021,PR,Águas Paraná,Rio Iguacu,1
-53.5008,-25.5848169992644,4,2.075,1.5,3,0.65,-25.584817,-53.5008,91,375,65974590,2021,PR,IAT,Rio Cotegipe,1
-49.583167,-25.5799439992646,4,4.15,1.6,7,2.748939,-25.579944,-49.583167,92,377,65027000,2021,PR,Águas Paraná,Rio Verde,1
-49.429927,-25.5744969992647,4,9.35,4,15,5.042156,-25.574497,-49.429927,93,378,65024000,2021,PR,Águas Paraná,Rio Passauna,1
-53.9445,-25.5737999992647,4,2.075,1.5,2.8,0.537742,-25.5738,-53.9445,94,379,65987002,2021,PR,Águas Paraná,RIO IGUAÇU,1
-54.5183,-25.5691999992648,4,2,1.7,2.3,0.244949,-25.5692,-54.5183,95,381,65996000,2021,PR,Águas Paraná,Rio Tamandua,1
-54.5831,-25.5499999992652,4,1.95,1.8,2,0.1,-25.55,-54.5831,96,385,64925100,2021,PR,Águas Paraná,Rio Paraná,1
-49.889611,-25.5480559992652,4,9.5,7,15,3.696846,-25.548056,-49.889611,97,387,65035000,2021,PR,Águas Paraná,Rio Iguacu,1
